"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AL449106.1",0.0583531189024467,0.797163382746195,0.023,0.013,1
"GPCPD1",0.0583743920365856,0.134416265759784,0.646,0.629,1
"AC105137.2",0.0584181093949336,1.26431547431415,0.01,0.004,1
"FBXO6",0.0584449082651964,-0.359461866710453,0.118,0.146,1
"FAM168A",0.0584564230010085,-0.350132770487997,0.117,0.145,1
"CCNC",0.0584773913074146,-0.159136305516822,0.317,0.363,1
"CCDC61",0.0584804037567718,-0.316572416788743,0.094,0.122,1
"MAP3K20",0.0584999771261481,-0.546692237755945,0.069,0.092,1
"AP002026.1",0.0585363660419067,0.711757777705472,0.034,0.021,1
"AHCYL1",0.0585387554234897,-0.164580661655015,0.237,0.281,1
"DCUN1D1",0.0585512509367286,-0.273053753131652,0.202,0.234,1
"AC019205.1",0.0586746796676056,-0.586470918381598,0.023,0.038,1
"MAPKBP1",0.0586886129454242,0.270825509008337,0.131,0.106,1
"AC097382.2",0.0586976466990908,0.716070068551096,0.034,0.021,1
"AC005052.2",0.058749340735936,-0.657186674665875,0.024,0.039,1
"GPATCH4",0.0588874323912915,0.253854081562324,0.293,0.265,1
"AARS",0.0590368807005581,-0.258594339333624,0.199,0.233,1
"LINC00534",0.0592207793955675,0.897098526856478,0.018,0.01,1
"ANKRA2",0.0592379439983025,-0.148718507271665,0.219,0.254,1
"ZNF136",0.0592575170108945,0.218933623691594,0.245,0.213,1
"PTPRG",0.0592604172237396,0.403430859987478,0.054,0.038,1
"TARBP2",0.0593835928601557,-0.199698271624047,0.159,0.194,1
"MTBP",0.0594461116768822,-0.411692380937642,0.039,0.058,1
"RIPK3",0.0594660435794439,-0.312069397271218,0.087,0.113,1
"OPN3",0.059522140778253,0.540319577365722,0.097,0.077,1
"TENM1",0.0595221837200687,-0.514226005143565,0.023,0.037,1
"GATA6",0.0595290162622876,-0.857990581800099,0.008,0.019,1
"TRBJ2-3",0.0595454371099245,-0.463666960031275,0.038,0.056,1
"CLN3",0.059617331048668,-0.182538544087109,0.291,0.336,1
"HMGA1",0.0596280686627044,-0.212729204738172,0.64,0.644,1
"IARS",0.0596739626751952,-0.150627086747116,0.316,0.361,1
"SDF4",0.0596777493106146,-0.114191080664795,0.66,0.697,1
"TMEM87A",0.0597570413847997,-0.185453529363631,0.584,0.617,1
"CDHR3",0.059865893288767,-0.347737221069071,0.063,0.087,1
