"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"NKG7",1.01871773192845e-69,-3.81240866012167,0.197,0.524,3.72860877063131e-65,"0","NKG7"
"CD83",5.27219139860912e-61,0.63983218230707,0.961,0.684,1.92967477380492e-56,"0","CD83"
"RPS23",7.23739382426899e-61,0.251699839580064,1,0.999,2.64895851362069e-56,"0","RPS23"
"BANK1",6.79250183061042e-60,0.539418955347802,0.992,0.46,2.48612359502172e-55,"0","BANK1"
"RALGPS2",5.17883438693292e-58,0.578213579795104,0.913,0.489,1.89550517396132e-53,"0","RALGPS2"
"GZMH",2.04725430243525e-56,-6.09375862396973,0.017,0.306,7.49315547234325e-52,"0","GZMH"
"LINC00926",2.36691909070518e-54,0.655050794044786,0.807,0.388,8.66316056389001e-50,"0","LINC00926"
"NIBAN3",3.14070392315405e-54,0.773291247302902,0.715,0.335,1.14952904291361e-49,"0","NIBAN3"
"AFF3",1.6470793698902e-52,0.572951460192868,0.884,0.479,6.0284752017351e-48,"0","AFF3"
"PFN1",2.18770843422883e-52,-0.544160706904167,1,1,8.00723164012094e-48,"0","PFN1"
"CST7",4.01562216829938e-52,-2.36209340253948,0.288,0.544,1.46975786981926e-47,"0","CST7"
"CD37",8.34448728207572e-52,0.375147459482462,1,0.995,3.05416579011253e-47,"0","CD37"
"ARHGAP24",1.48833926252543e-51,0.654207204793583,0.798,0.399,5.44747053476933e-47,"0","ARHGAP24"
"MS4A1",2.17764616005141e-50,0.354276465805181,0.993,0.476,7.97040271040418e-46,"0","MS4A1"
"TNFRSF13C",3.06886381016533e-49,0.657286538403204,0.793,0.409,1.12323484315861e-44,"0","TNFRSF13C"
"ADAM28",3.28262977531386e-49,0.761710947525052,0.687,0.336,1.20147532406263e-44,"0","ADAM28"
"PRF1",4.95883178520875e-49,-3.21274559401016,0.093,0.375,1.81498202170425e-44,"0","PRF1"
"HLA-DQB1",2.69625815860299e-45,0.381369259402407,0.984,0.631,9.8685744863028e-41,"0","HLA-DQB1"
"GZMA",5.73062536241706e-45,-2.13224693698694,0.223,0.49,2.09746618889827e-40,"0","GZMA"
"JUND",1.06161906492368e-44,0.425038328047569,1,0.999,3.88563193952716e-40,"0","JUND"
"VPREB3",1.53348293958826e-44,1.07377224643235,0.498,0.216,5.61270090718698e-40,"0","VPREB3"
"GNG7",5.28622639879047e-44,0.547865941877903,0.828,0.436,1.9348117242213e-39,"0","GNG7"
"AOAH",5.72244724782486e-44,-2.55951896651493,0.111,0.381,2.09447291717638e-39,"0","AOAH"
"GZMB",9.39634472721502e-44,-6.02559375756121,0.013,0.247,3.43915613360797e-39,"0","GZMB"
"KLRD1",1.08859380186534e-43,-3.43905709574634,0.048,0.299,3.98436217420734e-39,"0","KLRD1"
"CD8A",2.07813521006994e-43,-1.87503387034958,0.205,0.477,7.60618268237699e-39,"0","CD8A"
"RPL11",1.55482825082297e-42,0.204510700548444,1,1,5.69082688083715e-38,"0","RPL11"
"RPL8",4.50153572108794e-41,0.211082344183529,1,1,1.6476070892754e-36,"0","RPL8"
"CCL5",4.75654304259284e-41,-1.7409534187717,0.371,0.593,1.74094231901941e-36,"0","CCL5"
"FGFBP2",5.79562329110053e-41,-5.69481467398356,0.013,0.235,2.12125608077571e-36,"0","FGFBP2"
"RPS5",6.80798355340783e-41,0.216287936803478,1,0.999,2.4917900603828e-36,"0","RPS5"
"RPS8",7.07929890265535e-41,0.213849217908613,1,1,2.59109419136088e-36,"0","RPS8"
"CFL1",2.56460506694812e-40,-0.420642351381983,1,0.998,9.38671100553683e-36,"0","CFL1"
"RPL9",3.44418852346689e-40,0.249714680633784,1,0.998,1.26060744147412e-35,"0","RPL9"
"CD79A",5.79855364135805e-40,0.374021450859763,0.994,0.504,2.12232861827346e-35,"0","CD79A"
"TMSB4X",1.01916454873584e-39,-0.376040629194698,1,1,3.73024416482804e-35,"0","TMSB4X"
"FCRL6",1.72222964057075e-39,-3.82274803642066,0.021,0.244,6.30353270745302e-35,"0","FCRL6"
"HLA-DQA1",3.72205335966513e-39,0.15935839445805,0.982,0.541,1.36230875017103e-34,"0","HLA-DQA1"
"CCSER1",6.3747159861472e-39,1.20644692765203,0.408,0.173,2.33320979808974e-34,"0","CCSER1"
"RPL32",2.24035662081767e-38,0.205875064758923,1,1,8.19992926785477e-34,"0","RPL32"
"CCL4",5.15567792383833e-38,-4.15616086420538,0.028,0.249,1.88702967690407e-33,"0","CCL4"
"BLK",9.81839587510482e-38,0.33451190494197,0.832,0.447,3.59363107424711e-33,"0","BLK"
"ALOX5",3.01815018429358e-37,0.691612732707764,0.669,0.363,1.10467314895329e-32,"0","ALOX5"
"PAX5",1.20657681019621e-36,0.752509397774588,0.604,0.309,4.41619178299914e-32,"0","PAX5"
"SH3BGRL3",1.52158523586058e-36,-0.391839975657247,1,0.997,5.56915412177331e-32,"0","SH3BGRL3"
"RPL30",1.84217110777154e-36,0.213967098279004,1,1,6.74253047155463e-32,"0","RPL30"
"RPL19",7.10253372386064e-36,0.203433189466733,1,1,2.59959836827023e-31,"0","RPL19"
"FAU",9.25293974852785e-36,0.187144832585851,1,1,3.38666847735868e-31,"0","FAU"
"GNLY",1.07894943805127e-35,-3.57087264188263,0.106,0.33,3.94906283821146e-31,"0","GNLY"
"HLA-DRA",1.11027902255457e-35,0.284378173588602,1,0.602,4.06373225045198e-31,"0","HLA-DRA"
"RPL18",2.1277024489514e-35,0.189496035650632,1,0.999,7.78760373340701e-31,"0","RPL18"
"EBF1",2.47101465551945e-35,0.442861101410929,0.726,0.38,9.04416074066674e-31,"0","EBF1"
"ITGB2",2.69410322849476e-35,-0.704508014412889,0.894,0.9,9.86068722661367e-31,"0","ITGB2"
"IRF8",3.01451867030882e-35,0.494175718697154,0.69,0.366,1.10334397851973e-30,"0","IRF8"
"EEF1B2",3.35998802184493e-35,0.252459222218139,1,1,1.22978921587546e-30,"0","EEF1B2"
"LINC01781",4.16838926122841e-35,0.94370002669519,0.464,0.218,1.52567215350221e-30,"0","LINC01781"
"CD40",1.22691876761726e-33,0.69646909472817,0.578,0.3,4.49064538135594e-29,"0","CD40"
"RPL10",2.96488361081217e-33,0.186462123300338,1,1,1.08517705039336e-28,"0","RPL10"
"S1PR5",4.00230408148326e-33,-3.90803391745166,0.023,0.214,1.46488331686369e-28,"0","S1PR5"
"ACTG1",6.91081987946022e-33,-0.805112868968552,1,0.998,2.52942918408124e-28,"0","ACTG1"
"HCST",1.75523473861293e-32,-0.908508575370333,0.819,0.817,6.42433466679717e-28,"0","HCST"
"BACH2",1.92321993996975e-32,0.612616396994027,0.903,0.756,7.03917730228329e-28,"0","BACH2"
"MARCKS",3.03730257627364e-32,0.293746888425925,0.773,0.415,1.11168311594191e-27,"0","MARCKS"
"CD8B",4.88116139587159e-32,-1.40392152832866,0.209,0.454,1.78655388250296e-27,"0","CD8B"
"CTSW",5.05860756819334e-32,-1.65283204463249,0.496,0.622,1.85150095603445e-27,"0","CTSW"
"GAPDH",6.30002085668035e-32,-0.578043919741356,1,0.999,2.30587063375358e-27,"0","GAPDH"
"ACTB",2.24133599543806e-31,-0.500943842380414,1,1,8.20351387690286e-27,"0","ACTB"
"ADGRG1",2.53693741775788e-31,-5.12799048215053,0.007,0.181,9.28544464273563e-27,"0","ADGRG1"
"FCRL1",2.54589184641244e-31,0.577883371498086,0.595,0.315,9.31821874705417e-27,"0","FCRL1"
"CD74",3.3662724616236e-31,0.377432909595043,1,0.995,1.23208938367885e-26,"0","CD74"
"HLA-DRB5",5.26445632371229e-31,0.210724743440918,0.883,0.553,1.92684365904193e-26,"0","HLA-DRB5"
"HLA-DPA1",5.9200724437871e-31,0.114345303935617,0.993,0.798,2.16680571515052e-26,"0","HLA-DPA1"
"FCGR3A",6.74176606140879e-31,-6.62483508829949,0.003,0.171,2.46755379613623e-26,"0","FCGR3A"
"OSBPL10",1.39512727102118e-30,0.41311520518142,0.755,0.432,5.10630532466462e-26,"0","OSBPL10"
"NFKBID",2.67326376849041e-30,0.616852353340504,0.69,0.438,9.78441271905174e-26,"0","NFKBID"
"CD22",3.55329864824791e-30,0.647524979331233,0.578,0.305,1.30054283824522e-25,"0","CD22"
"HLA-DRB1",4.4826200598996e-30,0.174608533968144,0.999,0.699,1.64068376812385e-25,"0","HLA-DRB1"
"SLC9A3R1",5.11892991398183e-30,-0.885547073279486,0.66,0.77,1.87357953781649e-25,"0","SLC9A3R1"
"EEF2",6.45042315551365e-30,0.199251700619095,1,1,2.36091937914955e-25,"0","EEF2"
"PLEKHG1",9.6261302559952e-30,0.532088829645031,0.616,0.337,3.5232599349968e-25,"0","PLEKHG1"
"EEF1A1",1.00276718309619e-29,0.174086178112848,1,1,3.67022816685035e-25,"0","EEF1A1"
"SWAP70",1.17614491137782e-29,0.411064256000737,0.762,0.448,4.30480799013396e-25,"0","SWAP70"
"KLRK1",1.98400871766917e-29,-1.46565235073574,0.214,0.44,7.26167030754092e-25,"0","KLRK1"
"RPS3A",2.82065318520065e-29,0.184586731587793,1,1,1.03238727231529e-24,"0","RPS3A"
"RPL13",3.34076583993411e-29,0.182225356388717,1,1,1.22275370507428e-24,"0","RPL13"
"CXCR5",3.34230594459726e-29,0.510287748212153,0.645,0.366,1.22331739878204e-24,"0","CXCR5"
"RUBCNL",3.34567301112426e-29,0.488751162947436,0.65,0.359,1.22454977880159e-24,"0","RUBCNL"
"C1orf21",7.2703727855283e-29,-2.93704746680038,0.024,0.199,2.66102914323121e-24,"0","C1orf21"
"RPS13",5.81249352459603e-28,0.176942165087968,1,0.999,2.12743075493739e-23,"0","RPS13"
"TPST2",7.24032100884919e-28,-1.30887981828238,0.258,0.473,2.65002989244889e-23,"0","TPST2"
"ABHD17A",1.68327001367665e-27,-0.707235203780328,0.783,0.852,6.16093657705792e-23,"0","ABHD17A"
"TMSB10",2.46647760683988e-27,-0.306797118852785,1,0.999,9.02755468879465e-23,"0","TMSB10"
"MATK",3.44376127718399e-27,-1.65014587068395,0.221,0.415,1.26045106506211e-22,"0","MATK"
"CD99",3.91755517502882e-27,-0.474322263524002,0.965,0.962,1.4338643696123e-22,"0","CD99"
"WDFY4",4.63667879140331e-27,0.488294395893111,0.639,0.351,1.69707080444152e-22,"0","WDFY4"
"EZR",5.10401817991392e-27,0.384753826389144,0.997,0.982,1.8681216940303e-22,"0","EZR"
"MYL6",6.89386322922048e-27,-0.392125997307363,0.996,0.998,2.52322288052699e-22,"0","MYL6"
"RPS27A",8.16840904863423e-27,0.180858923086683,1,1,2.98971939589062e-22,"0","RPS27A"
"FTH1",8.79114748089821e-27,0.193502269486706,1,0.999,3.21764788948355e-22,"0","FTH1"
"RPS25",2.7600591361894e-26,0.18311621875891,1,0.999,1.01020924443668e-21,"0","RPS25"
"MARCH1",2.83351300320296e-26,0.667321905383978,0.515,0.281,1.03709409430232e-21,"0","MARCH1"
"EEF1G",3.64985795820238e-26,0.213789774896241,1,0.999,1.33588451128165e-21,"0","EEF1G"
"LYN",4.4401482412429e-26,0.213742489642292,0.882,0.536,1.62513865777731e-21,"0","LYN"
"COBLL1",8.56907050640226e-26,0.458190615423214,0.629,0.348,3.13636549604829e-21,"0","COBLL1"
"CTSC",3.48200145841047e-25,-0.960230973086571,0.388,0.582,1.27444735379281e-20,"0","CTSC"
"TTC38",5.84032236540742e-25,-2.74454440989127,0.038,0.2,2.13761638896277e-20,"0","TTC38"
"SYNGR2",6.45689166481872e-25,0.329750673791509,0.963,0.835,2.3632869182403e-20,"0","SYNGR2"
"MEF2C",6.5349370068389e-25,0.291517995973414,0.728,0.415,2.39185229387311e-20,"0","MEF2C"
"CMC1",6.69690774234044e-25,-1.72646863126445,0.243,0.433,2.45113520277402e-20,"0","CMC1"
"CHPT1",8.62516765882696e-25,0.492626415539172,0.77,0.559,3.15689761480726e-20,"0","CHPT1"
"SAMD3",1.11118208864287e-24,-1.33170962322018,0.22,0.43,4.06703756264176e-20,"0","SAMD3"
"GZMM",1.97709545022339e-24,-1.24564277931835,0.441,0.569,7.23636705736262e-20,"0","GZMM"
"KLRC2",2.96611298744477e-24,-5.50121223942143,0.007,0.144,1.08562701453466e-19,"0","KLRC2"
"BCL11A",5.04369293289123e-24,0.777461008835157,0.48,0.263,1.84604205036752e-19,"0","BCL11A"
"LINC01857",5.54404701820885e-24,0.723410849660492,0.423,0.217,2.02917664913462e-19,"0","LINC01857"
"IGHG2",5.54478428014358e-24,-0.185431265672153,0.453,0.231,2.02944649437535e-19,"0","IGHG2"
"GRASP",5.71110874008444e-24,0.589002874087011,0.731,0.529,2.09032290995831e-19,"0","GRASP"
"APOBEC3G",5.79697148974911e-24,-1.04153006196826,0.339,0.532,2.12174953496307e-19,"0","APOBEC3G"
"NCF1",6.07273391458961e-24,0.323645073278029,0.877,0.65,2.22268134007894e-19,"0","NCF1"
"P2RX5",6.578008696552e-24,0.303824540201862,0.726,0.46,2.407616963025e-19,"0","P2RX5"
"FCRLA",8.11831354305361e-24,0.497918231683899,0.566,0.316,2.97138393989305e-19,"0","FCRLA"
"SERF2",9.99237213726327e-24,-0.26571226285318,1,0.998,3.65730812595973e-19,"0","SERF2"
"C12orf75",1.44350444600855e-23,-1.02512756960244,0.384,0.569,5.2833706228359e-19,"0","C12orf75"
"RPSA",1.48238537986755e-23,0.197931125351404,1,0.999,5.42567872885321e-19,"0","RPSA"
"PPP1R15A",2.00581237903312e-23,0.365686438563007,0.999,0.983,7.34147388849911e-19,"0","PPP1R15A"
"TYROBP",2.04785266031699e-23,-5.20272424961953,0.013,0.15,7.4953455220262e-19,"0","TYROBP"
"RPL18A",2.24460060237945e-23,0.150004848087579,1,1,8.21546266476902e-19,"0","RPL18A"
"LTB",2.32360921195993e-23,0.295638397082989,1,0.955,8.50464207669453e-19,"0","LTB"
"KLRC4",3.11363872618945e-23,-2.32573951036742,0.042,0.199,1.1396229101726e-18,"0","KLRC4"
"APMAP",6.58393110789023e-23,-1.12564935365236,0.295,0.487,2.4097846247989e-18,"0","APMAP"
"HLA-DMA",6.63178490168313e-23,0.104024205237499,0.903,0.59,2.42729959186504e-18,"0","HLA-DMA"
"LAPTM5",9.6045760964122e-23,0.221994297452726,1,0.99,3.51537089704783e-18,"0","LAPTM5"
"HOPX",1.1841160391327e-22,-1.21845895552462,0.292,0.483,4.33398311482959e-18,"0","HOPX"
"MYL12A",2.66448590854405e-22,-0.390842155883258,0.984,0.985,9.75228487386206e-18,"0","MYL12A"
"IGKC",3.37622764081399e-22,-1.55393126312559,0.619,0.354,1.23573307881433e-17,"0","IGKC"
"RPS15",3.60059713307331e-22,0.132788514942019,1,1,1.31785455667616e-17,"0","RPS15"
"CD19",4.00768325340169e-22,0.370834157566918,0.633,0.366,1.46685214757755e-17,"0","CD19"
"RPL22",4.19493750281124e-22,0.186355056853815,1,0.998,1.53538907540394e-17,"0","RPL22"
"TCF4",4.38695069609978e-22,0.33351259330934,0.642,0.374,1.60566782427948e-17,"0","TCF4"
"CDK14",6.17096222732325e-22,0.359407195582005,0.626,0.368,2.25863388482258e-17,"0","CDK14"
"RPL34",6.30329566499789e-22,0.173170780784096,1,0.999,2.30706924634588e-17,"0","RPL34"
"RPS14",1.17851872529956e-21,0.162972494629439,1,0.999,4.31349638646891e-17,"0","RPS14"
"RPS9",1.2494803688751e-21,0.167758803703374,1,1,4.57322309811977e-17,"0","RPS9"
"NOP53",1.40330892275837e-21,0.244357583716802,1,0.993,5.13625098818789e-17,"0","NOP53"
"PTMS",1.73199421267599e-21,-2.50025658371822,0.041,0.186,6.3392720178154e-17,"0","PTMS"
"PPP1CA",2.89929709681303e-21,-0.470855368448883,0.882,0.935,1.06117173040454e-16,"0","PPP1CA"
"RPS12",2.92168062503302e-21,0.171276559449179,1,0.999,1.06936432556833e-16,"0","RPS12"
"PRSS23",3.44501877507335e-21,-5.93870952512474,0.001,0.118,1.2609113218646e-16,"0","PRSS23"
"LY86",6.3844915622265e-21,0.31086972387307,0.635,0.357,2.33678775669052e-16,"0","LY86"
"KLRF1",6.83388459523086e-21,-4.14223402600363,0.008,0.131,2.50127010070045e-16,"0","KLRF1"
"RPS18",6.87072516706557e-21,0.157829866746789,1,1,2.51475411839767e-16,"0","RPS18"
"ARPC2",7.1373919027896e-21,-0.36295037201597,0.993,0.993,2.61235681034002e-16,"0","ARPC2"
"ITGB7",8.24730073867783e-21,-0.626544288285359,0.65,0.773,3.01859454336347e-16,"0","ITGB7"
"ARPC1B",8.95075611731531e-21,-0.460074305240933,0.966,0.983,3.27606624649858e-16,"0","ARPC1B"
"EFHD2",9.10518308368431e-21,-0.760433809969327,0.742,0.814,3.33258806045929e-16,"0","EFHD2"
"RPS6",1.10275075020466e-20,0.167602999162394,1,1,4.03617802082409e-16,"0","RPS6"
"MYO1F",1.97101268038076e-20,-0.873940710282311,0.447,0.605,7.21410351146161e-16,"0","MYO1F"
"IGHM",2.01849529772724e-20,-0.452246721683506,0.537,0.306,7.38789463921148e-16,"0","IGHM"
"BLNK",2.1375393802053e-20,0.594330882186319,0.496,0.283,7.82360788548943e-16,"0","BLNK"
"RPL12",3.80343223783342e-20,0.158804182184525,1,0.998,1.39209423336941e-15,"0","RPL12"
"LAG3",4.4687986969232e-20,-1.99147044666394,0.055,0.202,1.63562501106086e-15,"0","LAG3"
"RPS16",4.95366535646784e-20,0.172356723293783,1,0.999,1.8130910571208e-15,"0","RPS16"
"ZEB2",5.22814808449874e-20,-1.13594057745266,0.495,0.596,1.91355448040738e-15,"0","ZEB2"
"IGHA1",6.78042913287686e-20,-2.03412645558673,0.554,0.32,2.48170486692426e-15,"0","IGHA1"
"TBX21",8.57180922486691e-20,-1.36159229625327,0.155,0.326,3.13736789439354e-15,"0","TBX21"
"BASP1",9.45741773452431e-20,0.324462112674726,0.619,0.369,3.46150946501324e-15,"0","BASP1"
"RPL10A",9.57252437828752e-20,0.162707622602595,1,1,3.50363964769701e-15,"0","RPL10A"
"RPL5",1.0243713083912e-19,0.160415614680336,1,1,3.74930142584263e-15,"0","RPL5"
"LCP1",1.05803853375677e-19,-0.466260587503722,0.906,0.933,3.87252683740317e-15,"0","LCP1"
"SPN",1.06969209463265e-19,-1.02912129921347,0.3,0.472,3.91518003556497e-15,"0","SPN"
"CD79B",1.82377793709042e-19,0.118183821796233,0.781,0.527,6.67520962754465e-15,"0","CD79B"
"RPL13A",1.85391456766732e-19,0.178124620326566,1,0.998,6.78551270911917e-15,"0","RPL13A"
"RPL29",2.02182792240159e-19,0.135640366425026,1,1,7.40009237878206e-15,"0","RPL29"
"FADS3",2.55855141024523e-19,0.861274008401387,0.392,0.223,9.36455401663858e-15,"0","FADS3"
"RBM38",2.719681431735e-19,0.357442444704313,0.961,0.928,9.95430600829327e-15,"0","RBM38"
"SPON2",3.63672311856725e-19,-2.19102159466492,0.063,0.207,1.3310770286268e-14,"0","SPON2"
"RPS11",4.81490522790799e-19,0.179371801331378,1,0.998,1.7623034624666e-14,"0","RPS11"
"CD24",9.58933364408926e-19,0.423171259432375,0.451,0.251,3.50979200707311e-14,"0","CD24"
"XCL2",1.17588235680935e-18,-2.78642991460075,0.027,0.151,4.3038470141579e-14,"0","XCL2"
"ZNF331",1.27944122963681e-18,0.410718233058272,0.911,0.819,4.68288284459368e-14,"0","ZNF331"
"PLAAT4",1.32503431785012e-18,-0.622298292421829,0.8,0.818,4.84975810676321e-14,"0","PLAAT4"
"CCR7",1.99282078311374e-18,0.547790047781195,0.684,0.532,7.29392334827461e-14,"0","CCR7"
"S100A6",2.40399299754014e-18,-0.455112899650588,0.984,0.967,8.79885477029666e-14,"0","S100A6"
"RPL3",4.20221348955607e-18,0.159130408037882,1,1,1.53805215931242e-13,"0","RPL3"
"CALHM6",4.54439896284713e-18,0.580976850531201,0.53,0.334,1.66329546439168e-13,"0","CALHM6"
"RAB27A",4.65426624322835e-18,-1.07272500001863,0.195,0.371,1.70350798768401e-13,"0","RAB27A"
"RPL35A",4.81908313329759e-18,0.152594188787781,1,0.999,1.76383261761825e-13,"0","RPL35A"
"HLA-DMB",5.25214128867815e-18,0.133650938972618,0.722,0.435,1.92233623306909e-13,"0","HLA-DMB"
"CORO1A",5.45124789242298e-18,-0.385430002076236,0.999,0.994,1.99521124110574e-13,"0","CORO1A"
"RPS3",6.90512779105767e-18,0.152583340732629,1,0.999,2.52734582280502e-13,"0","RPS3"
"KHDRBS2",1.04446001160189e-17,0.707697052671773,0.357,0.191,3.82282808846407e-13,"0","KHDRBS2"
"GPR183",1.27431730970964e-17,0.321306645462767,0.921,0.811,4.66412878526827e-13,"0","GPR183"
"SPIB",1.64770391561874e-17,0.16441888770521,0.622,0.357,6.03076110155616e-13,"0","SPIB"
"TRGC2",2.00491227712954e-17,-2.34500921897892,0.034,0.154,7.33817942552183e-13,"0","TRGC2"
"RPL14",2.26303303311716e-17,0.134556686732553,1,0.999,8.28292720451213e-13,"0","RPL14"
"TRAF4",2.28386601126044e-17,0.500668115852359,0.636,0.459,8.35917798781432e-13,"0","TRAF4"
"OSBPL5",2.64852069911832e-17,-3.55155722309396,0.011,0.115,9.69385061084298e-13,"0","OSBPL5"
"PITPNC1",4.05715179936738e-17,-0.659897100427947,0.629,0.718,1.48495813008645e-12,"0","PITPNC1"
"BIN2",5.05524965485389e-17,-0.527143859101585,0.76,0.821,1.85027192617307e-12,"0","BIN2"
"JCHAIN",5.98162108403543e-17,-2.18703853779868,0.59,0.357,2.18933313296781e-12,"0","JCHAIN"
"MAL",7.43448938553663e-17,0.405399792920632,0.595,0.388,2.72109746000026e-12,"0","MAL"
"SNX9",7.67695901536673e-17,0.422989924865338,0.825,0.686,2.80984376921438e-12,"0","SNX9"
"LCN10",7.94973521432271e-17,1.7550576003936,0.11,0.032,2.90968258579425e-12,"0","LCN10"
"SNED1",8.12645139488856e-17,0.56460232127556,0.542,0.369,2.97436247504316e-12,"0","SNED1"
"CD55",8.94250482586343e-17,0.368411806771809,0.924,0.856,3.27304619131427e-12,"0","CD55"
"GNB2",8.97797168808375e-17,-0.42574927395603,0.835,0.887,3.28602741755553e-12,"0","GNB2"
"COL6A2",1.27007832185018e-16,-1.99106251822391,0.099,0.234,4.64861366580383e-12,"0","COL6A2"
"SLAMF7",1.28651146931829e-16,-1.73391741286804,0.072,0.206,4.70876062885188e-12,"0","SLAMF7"
"SYNE1",1.37932362910643e-16,-0.912164731417612,0.443,0.575,5.04846241489243e-12,"0","SYNE1"
"RPS2",1.68597644161919e-16,0.138575355271127,1,1,6.17084237397038e-12,"0","RPS2"
"GNG5",1.8103303005694e-16,-0.527884851139216,0.725,0.798,6.62598993311407e-12,"0","GNG5"
"MYL12B",1.97262650039489e-16,-0.341501492787296,0.949,0.966,7.22001025409533e-12,"0","MYL12B"
"KIR2DL3",2.04534907301054e-16,-4.89656672022795,0.001,0.092,7.48618214212588e-12,"0","KIR2DL3"
"PNRC1",2.10635183484389e-16,0.2162567944111,1,0.999,7.70945835071211e-12,"0","PNRC1"
"RGS7",2.24787780055166e-16,1.70643305877984,0.118,0.037,8.22745753779915e-12,"0","RGS7"
"EOMES",2.34275869230225e-16,-2.41298841004878,0.032,0.146,8.57473108969547e-12,"0","EOMES"
"COX5A",2.67317245877773e-16,-0.508206500625881,0.777,0.841,9.78407851637236e-12,"0","COX5A"
"CTSD",2.77147155288708e-16,-0.725710334912914,0.501,0.629,1.0143863030722e-11,"0","CTSD"
"SNHG7",3.07078625999643e-16,0.395248763417646,0.853,0.775,1.12393847902129e-11,"0","SNHG7"
"RPL21",3.28144630979081e-16,0.151547806945166,1,1,1.20104216384654e-11,"0","RPL21"
"FOXP1",3.60048469794279e-16,0.304589132069038,0.982,0.927,1.31781340429404e-11,"0","FOXP1"
"TSC22D3",3.62645227696595e-16,0.23458299122977,1,0.991,1.32731779789231e-11,"0","TSC22D3"
"PTGDR",3.82642461911032e-16,-2.00691509332713,0.048,0.168,1.40050967484057e-11,"0","PTGDR"
"KLRG1",3.91372261264454e-16,-1.13718973165158,0.289,0.433,1.43246161345403e-11,"0","KLRG1"
"ARHGAP26",4.27371273377469e-16,-1.00014554415761,0.268,0.428,1.56422159768887e-11,"0","ARHGAP26"
"SEMA4B",5.02240666980343e-16,0.520021569596585,0.463,0.289,1.83825106521475e-11,"0","SEMA4B"
"STRBP",5.8264610948597e-16,0.434707955864996,0.621,0.435,2.1325430253296e-11,"0","STRBP"
"CAP1",6.64428230011624e-16,-0.481307329411606,0.791,0.859,2.43187376466555e-11,"0","CAP1"
"RPS15A",6.96035243854124e-16,0.112751869434263,1,1,2.54755859603048e-11,"0","RPS15A"
"NUCB2",7.38111144678741e-16,-0.988396451591336,0.306,0.46,2.70156060063866e-11,"0","NUCB2"
"DENND5B",7.47844225393903e-16,0.523148940312175,0.432,0.253,2.73718464936423e-11,"0","DENND5B"
"RHOC",7.5414885951171e-16,-1.00176026772832,0.271,0.43,2.76026024069881e-11,"0","RHOC"
"RPL41",7.78115346438667e-16,0.123030389096949,1,1,2.84797997950016e-11,"0","RPL41"
"PTK2",8.42368020471442e-16,0.719137071283558,0.327,0.181,3.08315119172753e-11,"0","PTK2"
"RPS28",8.69891785315839e-16,0.150278494206895,1,1,3.1838909234345e-11,"0","RPS28"
"SETBP1",8.96872665437157e-16,0.431402833639059,0.537,0.337,3.28264364276654e-11,"0","SETBP1"
"RPLP2",1.05524375492717e-15,0.131402217937188,1,0.999,3.86229766740895e-11,"0","RPLP2"
"CCNI",1.34460552705896e-15,0.185634229815368,1,0.996,4.92139068958849e-11,"0","CCNI"
"ATP5F1E",1.38024063833481e-15,-0.228535091278124,0.999,0.999,5.05181876036924e-11,"0","ATP5F1E"
"CAPZB",1.40464439765621e-15,-0.398864235923462,0.921,0.949,5.14113895986151e-11,"0","CAPZB"
"PABPC1",1.41965638878729e-15,0.15713382051307,1,1,5.19608434860038e-11,"0","PABPC1"
"CD82",1.98347151564461e-15,0.236985328644451,0.867,0.712,7.25970409441083e-11,"0","CD82"
"ITGAL",2.07242501194074e-15,-0.775588019268996,0.489,0.601,7.58528278620432e-11,"0","ITGAL"
"DBI",2.09769491625214e-15,-0.529942717513399,0.721,0.811,7.67777316297448e-11,"0","DBI"
"PLAAT3",2.1745401067064e-15,-1.38305076509498,0.117,0.255,7.95903424455611e-11,"0","PLAAT3"
"TPT1",2.6286177698011e-15,0.139718476367942,1,1,9.62100389924902e-11,"0","TPT1"
"SOCS3",3.7044054306228e-15,0.364398133061573,0.709,0.548,1.35584943166225e-10,"0","SOCS3"
"TBC1D9",3.844818632416e-15,0.549773915372988,0.468,0.292,1.40724206765058e-10,"0","TBC1D9"
"HVCN1",4.4809051433369e-15,0.435409756759373,0.547,0.363,1.64005609151274e-10,"0","HVCN1"
"BSG",4.49991337751124e-15,-0.447036215940713,0.68,0.781,1.64701329530289e-10,"0","BSG"
"CXXC5",4.77372996484827e-15,0.168406831382866,0.701,0.443,1.74723290443412e-10,"0","CXXC5"
"EIF1",5.08788193044354e-15,0.16882288312396,1,1,1.86221566536164e-10,"0","EIF1"
"SYK",5.14170246237282e-15,0.136501131767883,0.643,0.407,1.88191451825308e-10,"0","SYK"
"PPIB",5.26609048874864e-15,-0.653623906240534,0.966,0.978,1.92744177978689e-10,"0","PPIB"
"SNX2",5.41177428061415e-15,0.242916328648414,0.85,0.699,1.98076350444759e-10,"0","SNX2"
"PTMA",5.4405009898193e-15,0.12597861724191,1,1,1.99127776728376e-10,"0","PTMA"
"PRKCB",6.10734230577693e-15,0.176940616012847,0.977,0.903,2.23534835733741e-10,"0","PRKCB"
"PFDN5",7.79233724900638e-15,0.160450451824806,1,0.999,2.85207335650883e-10,"0","PFDN5"
"IFNG",8.51930289475432e-15,-2.38705764094554,0.047,0.159,3.11815005250903e-10,"0","IFNG"
