"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STOM.6",3.1144531249077e-21,-3.59339582803078,0.04,0.376,1.13992098824747e-16,"6","STOM"
"FA2H.4",3.36800495084881e-21,2.28477573920173,0.221,0.053,1.23272349206017e-16,"6","FA2H"
"TOB1.5",3.63708977304069e-21,-1.80778513773738,0.286,0.603,1.33121122783062e-16,"6","TOB1"
"IL6ST.4",3.67565605552356e-21,-2.32331884701043,0.131,0.479,1.34532687288218e-16,"6","IL6ST"
"RPS25.3",4.02670942594744e-21,-0.275032716634127,1,0.999,1.47381591699102e-16,"6","RPS25"
"ITGB7.2",4.05493863725566e-21,0.845216133978345,0.879,0.735,1.48414809062195e-16,"6","ITGB7"
"MATK.5",4.16815504562354e-21,-3.4770043760114,0.055,0.391,1.52558642824867e-16,"6","MATK"
"MYBL1.6",4.24246516359546e-21,-5.75959556514985,0.005,0.33,1.55278467452757e-16,"6","MYBL1"
"SCARB1.4",4.47013218596446e-21,2.41962875554559,0.216,0.052,1.63611308138485e-16,"6","SCARB1"
"FBXO10.4",5.28862438476261e-21,1.78880952804484,0.377,0.139,1.93568941106696e-16,"6","FBXO10"
"RPL13.4",5.87885229002263e-21,-0.275660590932153,1,1,2.15171872667118e-16,"6","RPL13"
"GABARAPL2.3",6.36258632343129e-21,0.861948601368621,0.874,0.767,2.32877022023909e-16,"6","GABARAPL2"
"ANKRD13A.5",6.79606465340003e-21,0.975502837658328,0.794,0.547,2.48742762379094e-16,"6","ANKRD13A"
"ZNF831.5",7.19144778168446e-21,-3.25626791255466,0.05,0.387,2.63214180257433e-16,"6","ZNF831"
"DAPP1.4",7.19178157698625e-21,1.20940114399504,0.593,0.297,2.63226397499274e-16,"6","DAPP1"
"MAP4K1.5",7.44050247104945e-21,0.948886349797114,0.809,0.664,2.72329830942881e-16,"6","MAP4K1"
"PLA2G2D",7.73774911723996e-21,3.81564984957148,0.08,0.007,2.832093554401e-16,"6","PLA2G2D"
"DAAM1.2",8.17329023987602e-21,1.5227980286139,0.528,0.271,2.99150596069702e-16,"6","DAAM1"
