"","sample","TCR_TRB_v_gene","count","total_count","proportion"
"110","3","TRBV5-8",1,420,0.00238095238095238
"111","3","TRBV6-1",9,420,0.0214285714285714
"112","3","TRBV6-2",9,420,0.0214285714285714
"113","3","TRBV6-4",5,420,0.0119047619047619
"114","3","TRBV6-5",10,420,0.0238095238095238
"115","3","TRBV6-6",11,420,0.0261904761904762
"116","3","TRBV7-2",18,420,0.0428571428571429
"117","3","TRBV7-3",3,420,0.00714285714285714
"118","3","TRBV7-6",2,420,0.00476190476190476
"119","3","TRBV7-7",2,420,0.00476190476190476
"120","3","TRBV7-8",6,420,0.0142857142857143
"121","3","TRBV7-9",22,420,0.0523809523809524
"122","3","TRBV9",21,420,0.05
"123","4","TRBV10-2",7,382,0.0183246073298429
"124","4","TRBV10-3",4,382,0.0104712041884817
"125","4","TRBV11-1",1,382,0.00261780104712042
"126","4","TRBV11-2",8,382,0.0209424083769634
"127","4","TRBV12-3",5,382,0.0130890052356021
"128","4","TRBV12-4",5,382,0.0130890052356021
"129","4","TRBV12-5",2,382,0.00523560209424084
"130","4","TRBV13",3,382,0.00785340314136126
"131","4","TRBV14",8,382,0.0209424083769634
"132","4","TRBV15",3,382,0.00785340314136126
"133","4","TRBV18",4,382,0.0104712041884817
"134","4","TRBV19",16,382,0.0418848167539267
"135","4","TRBV2",15,382,0.0392670157068063
"136","4","TRBV20-1",42,382,0.109947643979058
"137","4","TRBV24-1",5,382,0.0130890052356021
"138","4","TRBV25-1",2,382,0.00523560209424084
"139","4","TRBV27",25,382,0.0654450261780105
"140","4","TRBV28",19,382,0.049738219895288
"141","4","TRBV29-1",4,382,0.0104712041884817
"142","4","TRBV3-1",18,382,0.0471204188481675
"143","4","TRBV30",7,382,0.0183246073298429
"144","4","TRBV4-1",5,382,0.0130890052356021
"145","4","TRBV4-2",5,382,0.0130890052356021
"146","4","TRBV4-3",3,382,0.00785340314136126
"147","4","TRBV5-1",21,382,0.0549738219895288
"148","4","TRBV5-4",10,382,0.0261780104712042
"149","4","TRBV5-5",1,382,0.00261780104712042
"150","4","TRBV5-6",7,382,0.0183246073298429
"151","4","TRBV6-1",13,382,0.0340314136125654
"152","4","TRBV6-2",10,382,0.0261780104712042
"153","4","TRBV6-4",2,382,0.00523560209424084
"154","4","TRBV6-5",13,382,0.0340314136125654
"155","4","TRBV6-6",9,382,0.0235602094240838
"156","4","TRBV7-2",18,382,0.0471204188481675
"157","4","TRBV7-3",8,382,0.0209424083769634
"158","4","TRBV7-6",5,382,0.0130890052356021
"159","4","TRBV7-7",1,382,0.00261780104712042
"160","4","TRBV7-8",12,382,0.031413612565445
"161","4","TRBV7-9",16,382,0.0418848167539267
"162","4","TRBV9",20,382,0.0523560209424084
